output_group,index,key,name_en,name_zh,api_field,db_segment_column,db_event_type,db_event_code,db_event_name,db_event_name_en,db_native_label,zh_note
emotion,0,Anger,Anger,愤怒,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Anger,愤怒,Anger,emotion_index_0,愤怒/恼怒倾向；可作为强烈负向情绪线索，不等于冲突结论
emotion,1,Contempt,Contempt,轻蔑,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Contempt,轻蔑,Contempt,emotion_index_1,轻蔑/不满倾向；通常只作为情绪上下文
emotion,2,Disgust,Disgust,厌恶,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Disgust,厌恶,Disgust,emotion_index_2,厌恶倾向；通常只作为情绪上下文
emotion,3,Fear,Fear,恐惧,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Fear,恐惧,Fear,emotion_index_3,恐惧/害怕倾向；可作为报警音频重点关注的人声状态线索
emotion,4,Happiness,Happiness,高兴,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Happiness,高兴,Happiness,emotion_index_4,开心/愉悦倾向；通常用于排除强负向情绪
emotion,5,Neutral,Neutral,中性,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Neutral,中性,Neutral,emotion_index_5,中性情绪倾向；不等于“现场平稳”结论
emotion,6,Sadness,Sadness,悲伤,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Sadness,悲伤,Sadness,emotion_index_6,悲伤/低落倾向；可与哭泣声音事件一起作为求助或痛苦线索
emotion,7,Surprise,Surprise,惊讶,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Surprise,惊讶,Surprise,emotion_index_7,惊讶倾向；需要结合上下文解释
emotion,8,Other,Other,其他,timeline[].voiceEmotionScores[],postcall_timeline_segments.voice_emotion_scores,voice_emotion_score,Other,其他,Other,emotion_index_8,其他情绪或无法归入前 8 类；不应解释成具体状态
detailed,0,detailed_index_0,,,internal_only_not_returned,postcall_timeline_segments.voice_detailed_scores,voice_detailed_score,detailed_index_0,,,detailed_index_0,细粒度类别 0，标签名未确认，只保存 index 和 score
detailed,1,detailed_index_1,,,internal_only_not_returned,postcall_timeline_segments.voice_detailed_scores,voice_detailed_score,detailed_index_1,,,detailed_index_1,细粒度类别 1，标签名未确认，只保存 index 和 score
detailed,2,detailed_index_2,,,internal_only_not_returned,postcall_timeline_segments.voice_detailed_scores,voice_detailed_score,detailed_index_2,,,detailed_index_2,细粒度类别 2，标签名未确认，只保存 index 和 score
detailed,3,detailed_index_3,,,internal_only_not_returned,postcall_timeline_segments.voice_detailed_scores,voice_detailed_score,detailed_index_3,,,detailed_index_3,细粒度类别 3，标签名未确认，只保存 index 和 score
