index,mid,label_en,label_zh,zh_note,api_field,db_segment_column,db_event_type,db_event_code,db_event_name,db_event_name_en,db_native_label
0,/m/09x0r,Speech,人声/说话声,人声/说话声。只表示检测到语音类声音，不区分说话内容。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/09x0r,人声/说话声,Speech,audioset_index_0
1,/m/05zppz,"Male speech, man speaking",男性说话声,男性说话声。只表示声学性别倾向，不作为身份判断。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/05zppz,男性说话声,"Male speech, man speaking",audioset_index_1
2,/m/02zsn,"Female speech, woman speaking",女性说话声,女性说话声。只表示声学性别倾向，不作为身份判断。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/02zsn,女性说话声,"Female speech, woman speaking",audioset_index_2
3,/m/0ytgt,"Child speech, kid speaking",儿童说话声,儿童说话声。可作为报警场景中的儿童声音线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0ytgt,儿童说话声,"Child speech, kid speaking",audioset_index_3
4,/m/01h8n0,Conversation,交谈声,多人交谈声。可辅助判断现场有人声互动。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01h8n0,交谈声,Conversation,audioset_index_4
5,/m/02qldy,"Narration, monologue",旁白/独白,"AudioSet 原始声音标签：Narration, monologue。第一版只保存该标签概率，不直接转换为报警业务结论。",timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/02qldy,旁白/独白,"Narration, monologue",audioset_index_5
6,/m/0261r1,Babbling,含混说话声,AudioSet 原始声音标签：Babbling。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0261r1,含混说话声,Babbling,audioset_index_6
7,/m/0brhx,Speech synthesizer,合成语音,AudioSet 原始声音标签：Speech synthesizer。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0brhx,合成语音,Speech synthesizer,audioset_index_7
8,/m/07p6fty,Shout,喊叫声,喊叫声。可作为争执、求助或强烈情绪线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07p6fty,喊叫声,Shout,audioset_index_8
9,/m/07q4ntr,Bellow,低沉吼叫声,低沉吼叫/咆哮声。可作为强烈发声线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07q4ntr,低沉吼叫声,Bellow,audioset_index_9
10,/m/07rwj3x,Whoop,欢呼/高喊声,AudioSet 原始声音标签：Whoop。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07rwj3x,欢呼/高喊声,Whoop,audioset_index_10
11,/m/07sr1lc,Yell,叫喊声,叫喊声。可作为争执、呼救或强烈情绪线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07sr1lc,叫喊声,Yell,audioset_index_11
12,/m/04gy_2,Battle cry,战斗叫喊声,AudioSet 原始声音标签：Battle cry。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/04gy_2,战斗叫喊声,Battle cry,audioset_index_12
13,/t/dd00135,Children shouting,儿童喊叫声,儿童喊叫声。可作为儿童相关现场线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00135,儿童喊叫声,Children shouting,audioset_index_13
14,/m/03qc9zr,Screaming,尖叫声,尖叫声。报警音频重点关注声音事件。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/03qc9zr,尖叫声,Screaming,audioset_index_14
15,/m/02rtxlg,Whispering,低声/耳语,低声/耳语。可能对应压低声音，但模型只判断声学耳语。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/02rtxlg,低声/耳语,Whispering,audioset_index_15
16,/m/01j3sz,Laughter,笑声,AudioSet 原始声音标签：Laughter。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01j3sz,笑声,Laughter,audioset_index_16
17,/t/dd00001,Baby laughter,婴儿笑声,AudioSet 原始声音标签：Baby laughter。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00001,婴儿笑声,Baby laughter,audioset_index_17
18,/m/07r660_,Giggle,咯咯笑,AudioSet 原始声音标签：Giggle。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07r660_,咯咯笑,Giggle,audioset_index_18
19,/m/07s04w4,Snicker,窃笑声,AudioSet 原始声音标签：Snicker。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07s04w4,窃笑声,Snicker,audioset_index_19
20,/m/07sq110,Belly laugh,大笑声,AudioSet 原始声音标签：Belly laugh。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07sq110,大笑声,Belly laugh,audioset_index_20
21,/m/07rgt08,"Chuckle, chortle",轻笑声,"AudioSet 原始声音标签：Chuckle, chortle。第一版只保存该标签概率，不直接转换为报警业务结论。",timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07rgt08,轻笑声,"Chuckle, chortle",audioset_index_21
22,/m/0463cq4,"Crying, sobbing",哭泣/抽泣声,哭泣/抽泣声。报警音频重点关注声音事件。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0463cq4,哭泣/抽泣声,"Crying, sobbing",audioset_index_22
23,/t/dd00002,"Baby cry, infant cry",婴儿哭声,婴儿哭声。可作为儿童或婴儿相关线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00002,婴儿哭声,"Baby cry, infant cry",audioset_index_23
24,/m/07qz6j3,Whimper,呜咽声,呜咽声。可作为痛苦、害怕或弱势状态线索，但不是结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07qz6j3,呜咽声,Whimper,audioset_index_24
25,/m/07qw_06,"Wail, moan",哀号/呻吟声,哀号/呻吟声。可作为痛苦或求助线索，但不是医学判断。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07qw_06,哀号/呻吟声,"Wail, moan",audioset_index_25
26,/m/07plz5l,Sigh,叹气声,叹气声。情绪上下文线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07plz5l,叹气声,Sigh,audioset_index_26
27,/m/015lz1,Singing,歌唱声,AudioSet 原始声音标签：Singing。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/015lz1,歌唱声,Singing,audioset_index_27
28,/m/0l14jd,Choir,合唱声,AudioSet 原始声音标签：Choir。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0l14jd,合唱声,Choir,audioset_index_28
29,/m/01swy6,Yodeling,约德尔唱法,AudioSet 原始声音标签：Yodeling。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01swy6,约德尔唱法,Yodeling,audioset_index_29
30,/m/02bk07,Chant,吟诵声,AudioSet 原始声音标签：Chant。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/02bk07,吟诵声,Chant,audioset_index_30
31,/m/01c194,Mantra,咒语/诵经声,AudioSet 原始声音标签：Mantra。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01c194,咒语/诵经声,Mantra,audioset_index_31
32,/t/dd00003,Male singing,男性歌唱声,AudioSet 原始声音标签：Male singing。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00003,男性歌唱声,Male singing,audioset_index_32
33,/t/dd00004,Female singing,女性歌唱声,AudioSet 原始声音标签：Female singing。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00004,女性歌唱声,Female singing,audioset_index_33
34,/t/dd00005,Child singing,儿童歌唱声,AudioSet 原始声音标签：Child singing。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00005,儿童歌唱声,Child singing,audioset_index_34
35,/t/dd00006,Synthetic singing,合成歌声,AudioSet 原始声音标签：Synthetic singing。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/t/dd00006,合成歌声,Synthetic singing,audioset_index_35
36,/m/06bxc,Rapping,说唱声,AudioSet 原始声音标签：Rapping。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/06bxc,说唱声,Rapping,audioset_index_36
37,/m/02fxyj,Humming,哼唱声,AudioSet 原始声音标签：Humming。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/02fxyj,哼唱声,Humming,audioset_index_37
38,/m/07s2xch,Groan,呻吟/低哼声,呻吟/低哼声。可作为不适或痛苦线索，但不是结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07s2xch,呻吟/低哼声,Groan,audioset_index_38
39,/m/07r4k75,Grunt,闷哼声,咕哝/闷哼声。可作为身体用力或不适线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07r4k75,闷哼声,Grunt,audioset_index_39
40,/m/01w250,Whistling,口哨声,AudioSet 原始声音标签：Whistling。第一版只保存该标签概率，不直接转换为报警业务结论。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01w250,口哨声,Whistling,audioset_index_40
41,/m/0lyf6,Breathing,呼吸声,呼吸声。只表示呼吸类声音。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/0lyf6,呼吸声,Breathing,audioset_index_41
42,/m/07mzm6,Wheeze,喘鸣声,喘鸣/哮鸣样呼吸声。可作为呼吸异常线索，不作医疗诊断。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07mzm6,喘鸣声,Wheeze,audioset_index_42
43,/m/01d3sd,Snoring,打鼾声,打鼾声。呼吸类声音。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/01d3sd,打鼾声,Snoring,audioset_index_43
44,/m/07s0dtb,Gasp,急促吸气声,倒吸气/急促吸气。可作为惊恐、窒息感或呼吸异常线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07s0dtb,急促吸气声,Gasp,audioset_index_44
45,/m/07pyy8b,Pant,喘气声,喘气/急促呼吸。可作为紧张、奔跑或呼吸异常线索。,timeline[].audioEventScores[],postcall_timeline_segments.audio_event_scores,audio_event_score,/m/07pyy8b,喘气声,Pant,audioset_index_45
